權證代號,權證簡稱,履約價格,行使比例,到期日
700043,新應材永豐59購01,1351.5,0.01,20260930
700044,廣明永豐56購01,122.06,0.58,20260601
700045,龍巖永豐54購01,70.62,0.16,20260430
700046,雙鴻永豐54購05,1117.13,0.015,20260430
700047,宏捷科凱基59購01,176.0,0.08,20260930
700048,茂迪凱基53購01,22.0,0.7,20260331
700049,家登凱基53購03,460.0,0.08,20260331
700050,能率凱基56購02,87.5,0.15,20260601
700051,萬潤凱基54購04,530.0,0.07,20260430
700052,廣明凱基54購04,195.0,0.13,20260430
700053,優群凱基53購02,190.0,0.07,20260331
700054,雙鴻凱基56購03,1290.0,0.028,20260630
700055,穩懋凱基53購04,130.0,0.11,20260331
700056,系統電第一54購01,72.93,0.22,20260401
700057,中光電國票57購02,162.0,0.25,20260701
700058,弘塑國票58購01,2220.0,0.008,20260803
700059,生合國票56購02,147.5,0.035,20260601
700060,東洋國票56購01,95.0,0.1,20260601
700061,金山電國票55購01,58.0,0.4,20260504
700062,信立國票55購01,80.0,0.143,20260504
700063,茂達國票55購01,320.0,0.08,20260504
700064,意藍國票57購01,165.0,0.034,20260701
700065,系統電統一5A購01,80.88,0.042,20261001
700066,中美晶國泰55購01,120.0,0.07,20260504
700067,系統電國泰55購01,64.0,0.12,20260504
700068,建榮國泰55購01,46.5,0.3,20260504
700069,順達國泰55購01,364.5,0.02,20260504
70006C,元債20富邦56牛01,21.73,0.306,20260603
700070,良維富邦57購01,165.88,0.061,20260701
700071,華星光富邦54購01,265.0,0.035,20260401
700072,中光電元富54購02,120.0,0.05,20260401
700073,系統電元富54購01,72.0,0.1,20260401
700074,驊訊元富5A購01,55.0,0.2,20261001
700075,印能中信57購01,1500.0,0.007,20260701
700076,旺矽中信57購01,2480.0,0.01,20260701
700077,系統電永豐58購01,92.85,0.3,20260803
700078,家登永豐56購01,377.3,0.23,20260601
700079,華義永豐5A購01,200.0,0.04,20261001
700080,宏捷科群益54購02,128.0,0.125,20260401
700081,系統電群益54購04,78.0,0.2,20260401
700082,原相群益54購02,285.0,0.146,20260401
700083,家登群益55購01,425.0,0.04,20260504
700084,振曜群益54購02,150.0,0.05,20260401
700085,神盾群益54購01,160.0,0.087,20260401
700086,博智群益5A購01,150.0,0.02,20261001
700087,華景電群益54購01,315.0,0.04,20260401
700088,萬潤群益54購01,564.0,0.049,20260401
700089,廣明群益54購03,130.0,0.12,20260401
700090,雙鴻群益54購02,970.0,0.025,20260401
700091,M31凱基54購02,450.0,0.03,20260401
700092,中光電凱基58購01,152.0,0.07,20260803
700093,台燿凱基54購05,380.0,0.05,20260401
700094,宏觀凱基54購01,140.0,0.085,20260401
700095,系統電凱基54購01,80.0,0.2,20260401
700096,佳邦凱基55購01,110.0,0.22,20260504
700097,原相凱基54購03,250.0,0.065,20260401
700098,鈊象凱基54購05,1000.0,0.05,20260401
700099,鈺太凱基55購01,230.0,0.055,20260504
700100,營邦凱基54購01,300.0,0.07,20260401
700101,M31元大54購02,430.0,0.028,20260401
700102,M31元大56購01,473.0,0.027,20260601
700103,中光電元大5A購01,152.5,0.048,20261001
700104,系統電元大54購02,92.0,0.128,20260401
700105,昇達科元大54購09,449.0,0.015,20260401
700106,威剛元大54購15,159.5,0.045,20260401
700107,茂達元大54購01,266.0,0.049,20260401
700108,原相元大54購01,268.5,0.046,20260401
700109,鈊象元大54購04,879.0,0.023,20260401
700110,鈊象元大54購05,798.0,0.019,20260401
700111,萬潤元大54購02,382.5,0.02,20260401
700112,雙鴻元大54購17,909.0,0.007,20260401
700113,雙鴻元大5A購01,1050.0,0.006,20261001
700114,譜瑞元大54購14,759.0,0.015,20260401
700115,譜瑞元大54購15,734.0,0.016,20260401
700116,宜鼎富邦54購02,380.0,0.025,20260402
700117,IET國票55購03,160.0,0.04,20260504
700118,立碁國票55購01,66.0,0.2,20260504
700119,光焱國票55購01,340.0,0.008,20260504
700120,伯特光國票55購01,160.0,0.05,20260504
700121,均豪國票55購01,130.0,0.07,20260504
700122,系微國票55購02,400.0,0.083,20260504
700123,昇達科國票54購02,565.0,0.045,20260402
700124,昇達科國票57購01,615.0,0.04,20260702
700125,長聖國票55購01,270.0,0.06,20260504
700126,威剛國票61購01,235.0,0.05,20270104
700127,神盾國票56購02,190.0,0.08,20260602
700128,博智國票55購02,230.0,0.098,20260504
700129,智冠國票57購01,160.0,0.06,20260702
700130,雍智國票55購01,500.0,0.047,20260504
700131,雷科國票54購01,65.0,0.141,20260402
700132,緯軟國票57購01,160.0,0.07,20260702
700133,鴻呈國票57購01,200.0,0.063,20260702
700134,雙鴻國票55購01,1260.0,0.026,20260504
700135,穩得國票55購02,167.5,0.053,20260504
700136,旺矽元富54購04,2050.0,0.005,20260402
700137,旺矽元富55購01,2572.5,0.009,20260504
700138,擎邦元富57購01,60.0,0.23,20260702
